"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.452583331E-2,1.266366577E-1,1.266366577E-1,9.820627899E0
2.450383315E-2,1.240919495E-1,1.312770081E-1,9.828262024E0
3.448183322E-2,1.224453735E-1,1.237925720E-1,9.816137238E0
4.445983330E-2,1.299298096E-1,1.154100037E-1,9.837243347E0
5.443783314E-2,1.266366577E-1,1.097218323E-1,9.840237122E0
6.441583321E-2,1.344204712E-1,1.170565796E-1,9.810898132E0
7.439383329E-2,1.320254517E-1,1.327738953E-1,9.805958405E0
8.437183313E-2,1.207987976E-1,1.176553345E-1,9.819580078E0
9.434983321E-2,1.107696533E-1,1.049317932E-1,9.823172607E0
1.043268333E-1,1.236428833E-1,1.145118713E-1,9.819729767E0
1.143048331E-1,1.363664246E-1,1.088237000E-1,9.823921051E0
1.242828332E-1,1.375639343E-1,1.233435059E-1,9.818382568E0
1.342608333E-1,1.248403931E-1,1.163081360E-1,9.827064514E0
1.442388331E-1,1.216969299E-1,1.059796143E-1,9.839788055E0
1.542168332E-1,1.288819885E-1,1.215472412E-1,9.824220428E0
1.641948333E-1,1.308279419E-1,1.251397705E-1,9.828860779E0
1.741728333E-1,1.296304321E-1,1.237925720E-1,9.821825409E0
1.841508332E-1,1.215472412E-1,1.273851013E-1,9.824370117E0
1.941288332E-1,1.302291870E-1,1.103205872E-1,9.830806732E0
2.041068333E-1,1.152603149E-1,1.131646729E-1,9.857451324E0
2.140848332E-1,1.269360352E-1,1.149609375E-1,9.830806732E0
2.240628332E-1,1.428030396E-1,1.296304321E-1,9.818232880E0
2.340408333E-1,1.347198486E-1,1.257385254E-1,9.807904358E0
2.440188332E-1,1.398092651E-1,1.157093811E-1,9.820777588E0
2.539968332E-1,1.407073975E-1,1.134640503E-1,9.845176849E0
2.639748333E-1,1.297801208E-1,1.231938171E-1,9.822274475E0
2.739528331E-1,1.269360352E-1,1.202000427E-1,9.806856537E0
2.839308332E-1,1.374142456E-1,1.252894592E-1,9.821825409E0
2.939088333E-1,1.345701599E-1,1.197509766E-1,9.827363892E0
3.038868331E-1,1.252894592E-1,1.263372803E-1,9.827513580E0
3.138648332E-1,1.287322998E-1,1.172062683E-1,9.830058289E0
3.238428333E-1,1.399589539E-1,1.043330383E-1,9.815837860E0
3.338208331E-1,1.299298096E-1,1.179547119E-1,9.824370117E0
3.437988332E-1,1.290316772E-1,1.263372803E-1,9.826316071E0
3.537768333E-1,1.365161133E-1,1.089733887E-1,9.819580078E0
3.637548331E-1,1.357676697E-1,1.157093811E-1,9.825567627E0
3.737328332E-1,1.270857239E-1,1.179547119E-1,9.829908600E0
3.837108333E-1,1.303788757E-1,1.204994202E-1,9.821376343E0
3.936888331E-1,1.243913269E-1,1.146615601E-1,9.827064514E0
4.036668332E-1,1.275347900E-1,1.312770081E-1,9.824968872E0
4.136448333E-1,1.332229614E-1,1.221459961E-1,9.815388794E0
4.236228333E-1,1.336720276E-1,1.228944397E-1,9.842781830E0
4.335998332E-1,1.270857239E-1,1.203497314E-1,9.810598755E0
4.435778332E-1,1.330732727E-1,1.166075134E-1,9.821675720E0
4.535558333E-1,1.432521057E-1,1.188528442E-1,9.843230896E0
4.635338332E-1,1.432521057E-1,1.329235840E-1,9.834998016E0
4.735118332E-1,1.312770081E-1,1.173559570E-1,9.820478210E0
4.834898333E-1,1.339714050E-1,1.112187195E-1,9.824819183E0
4.934678331E-1,1.338217163E-1,1.233435059E-1,9.823771362E0
5.034458332E-1,1.396595764E-1,1.163081360E-1,9.823022919E0
5.134238333E-1,1.320254517E-1,1.088237000E-1,9.832004242E0
5.234018331E-1,1.276844788E-1,1.158590698E-1,9.831704865E0
5.333798332E-1,1.290316772E-1,1.149609375E-1,9.839189301E0
5.433578333E-1,1.347198486E-1,1.178050232E-1,9.824819183E0
5.533358331E-1,1.342707825E-1,1.137634277E-1,9.821825409E0
5.633138332E-1,1.351689148E-1,1.269360352E-1,9.832752686E0
5.732918333E-1,1.248403931E-1,1.161584473E-1,9.840386810E0
5.832698331E-1,1.294807434E-1,1.049317932E-1,9.828860779E0
5.932478332E-1,1.332229614E-1,1.161584473E-1,9.835297394E0
6.032258333E-1,1.344204712E-1,1.197509766E-1,9.815688171E0
