"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.577383326E-2,-2.465311438E-3,6.047794595E-4,-3.793522483E-4
2.575183311E-2,-1.029470819E-3,-3.834944218E-4,6.213863962E-4
3.572983318E-2,-8.252061671E-4,-8.601974696E-5,1.094097504E-3
4.570783325E-2,-1.434039907E-3,1.169016585E-3,2.152525703E-4
5.568583333E-2,-1.185833127E-3,1.250570640E-4,-3.613218141E-4
6.566383317E-2,-8.935987717E-4,-1.006593928E-3,4.975880729E-4
7.564183325E-2,-2.461841796E-4,1.207025722E-3,-1.162626548E-3
8.561983332E-2,-1.503154635E-6,6.842706352E-5,4.301772278E-4
9.559783316E-2,-5.240152823E-4,-1.717908308E-4,1.390513149E-3
1.055748332E-1,-2.281781053E-4,-5.210414529E-4,2.837456123E-4
1.155528333E-1,-3.243181854E-4,3.404906020E-4,-1.295769907E-4
1.255308331E-1,1.314979745E-4,1.019296236E-3,1.483726519E-4
1.355088332E-1,-1.571859932E-3,5.596354604E-4,-3.099573660E-4
1.454868333E-1,-2.216078574E-3,-3.797840327E-5,8.154945099E-4
1.554648331E-1,-1.648558769E-3,-6.856592372E-4,-2.859889064E-4
1.654428332E-1,2.234766725E-5,-1.319823787E-4,5.750995479E-4
1.754208333E-1,-1.594191184E-3,-6.076227874E-4,1.199652907E-4
1.853988331E-1,1.830565860E-3,-1.893024892E-4,6.217356422E-4
1.953768332E-1,1.379160094E-3,7.393425331E-4,-2.419274533E-4
2.053548333E-1,1.128369826E-3,1.772762276E-3,7.722505252E-4
2.153328331E-1,-6.082776235E-4,1.350917853E-3,1.884856465E-4
2.253108332E-1,-2.082980936E-4,-1.513233408E-3,-1.266259933E-3
2.352888333E-1,9.195506573E-4,-3.971019760E-4,-1.414864324E-3
2.452668331E-1,1.254002796E-3,3.341529518E-4,4.592172627E-4
2.552448332E-1,8.119180566E-4,-2.538729459E-4,-6.140366895E-4
2.652228333E-1,2.133999951E-4,-7.942887023E-4,3.882574383E-4
2.752008333E-1,2.434938215E-4,6.344979629E-4,-3.227236448E-6
2.851788332E-1,-4.151042085E-4,-7.375497371E-4,2.485492150E-4
2.951568333E-1,7.992972387E-4,-1.070978120E-3,-9.698469657E-4
3.051348333E-1,-1.248622546E-3,-1.633976586E-3,-4.555378109E-4
3.151128332E-1,7.253123331E-4,-1.047548838E-3,2.093639923E-3
3.250908332E-1,4.827748053E-4,-9.871711954E-4,-1.753268880E-4
3.350688333E-1,-1.241622027E-3,-8.279141039E-4,-9.441814618E-4
3.450468332E-1,2.511226339E-4,-8.776998147E-4,1.438181789E-5
3.550248332E-1,-5.616741255E-4,3.762915730E-5,3.201127111E-4
3.650028333E-1,-2.114003291E-4,-1.364415511E-3,-9.806808084E-4
3.749808331E-1,-1.709202770E-4,-1.273868605E-3,-5.963866133E-4
3.849588332E-1,-1.953630708E-3,6.975634024E-4,-1.483220374E-3
3.949368333E-1,-1.092098304E-3,-9.659118950E-5,-9.159669862E-4
4.049148331E-1,6.985279615E-4,7.591107860E-4,6.870806101E-5
4.148928332E-1,9.917420102E-4,1.652867533E-3,-1.155826831E-4
4.248708333E-1,-4.773184191E-4,-4.978664219E-4,1.313403714E-3
4.348478331E-1,5.850165617E-4,-5.777617916E-4,2.582591842E-4
4.448258332E-1,-3.362656571E-4,1.341216266E-4,1.617470116E-4
4.548038333E-1,-3.759466344E-4,4.443796352E-4,3.974367864E-4
4.647818331E-1,-7.187350420E-4,-1.475652680E-4,-6.791691994E-4
4.747598332E-1,7.488683332E-5,-3.827232867E-4,5.751796998E-4
4.847378333E-1,-1.476221951E-4,4.274528474E-4,-1.501155202E-5
4.947158331E-1,9.061906603E-4,-8.505983278E-4,-2.581581357E-4
5.046938332E-1,-5.419013323E-4,-6.703445688E-4,1.293966896E-3
5.146718333E-1,-4.484242527E-4,1.770732924E-4,4.537395434E-4
5.246498333E-1,6.823142176E-4,1.806123182E-4,1.590377069E-4
5.346278332E-1,1.092019957E-4,-1.600058749E-4,-1.992530189E-3
5.446058332E-1,5.036848597E-4,5.911160260E-4,-8.896970539E-4
5.545838333E-1,-1.344084740E-4,2.014953643E-4,-1.124854200E-3
5.645618332E-1,5.998485722E-5,1.051925123E-3,-4.325316986E-4
5.745398332E-1,-1.064135344E-3,-3.837328404E-5,2.979733981E-4
5.845178333E-1,-5.616899580E-4,4.428233951E-4,-1.127760392E-3
5.944958332E-1,-1.425086753E-3,-5.260342732E-4,4.072857264E-4
6.044738332E-1,3.423180897E-5,7.018335164E-4,1.378730522E-3
6.144518333E-1,-1.857453026E-4,1.151908189E-3,-3.994620638E-4
6.244298331E-1,-9.045047918E-4,7.431581616E-5,-1.154607278E-3
6.344078332E-1,1.519238111E-3,-1.571131870E-4,-6.736404030E-4
6.443858333E-1,2.164807403E-3,5.538659170E-4,-8.234761190E-4
6.543638331E-1,-8.877079235E-4,1.055605710E-3,-1.214669028E-4
6.643418332E-1,-1.146852388E-3,-1.917196438E-3,-7.316973060E-4
6.743198333E-1,-1.665428281E-4,-5.600489676E-4,3.631282016E-4
6.842986667E-1,7.748052012E-4,-3.409869969E-4,1.068858910E-4
6.942766665E-1,1.533539733E-3,5.429163575E-4,-1.029484905E-3
7.042546666E-1,1.386661315E-4,-2.186798956E-3,7.805187488E-4
7.142326667E-1,5.714297295E-4,3.703683615E-4,-5.353491288E-4
7.242106665E-1,4.259205889E-4,1.134933904E-3,1.937781111E-3
7.341886666E-1,1.367348013E-3,-1.218767837E-3,-8.249822422E-4
7.441666666E-1,9.415587410E-4,9.524365887E-4,9.334209608E-4
7.541446665E-1,7.886933163E-4,-2.025766298E-4,-1.361044415E-4
7.641226666E-1,-3.468198702E-4,-1.135217026E-4,4.657855607E-5
7.741006666E-1,1.224711537E-3,-1.302994788E-4,-1.184867113E-3
7.840776665E-1,3.594777081E-5,7.045408711E-4,8.908625459E-4
7.940556665E-1,-3.832336515E-4,-1.598561183E-3,-1.225551590E-3
8.040336666E-1,-6.222178927E-4,2.964546904E-3,1.100434922E-3
8.140116665E-1,5.650192033E-4,1.831408590E-4,4.892394645E-4
8.239896665E-1,7.683364674E-5,-2.916976810E-4,-2.342347143E-4
8.339676666E-1,-6.448829081E-4,-1.915959641E-3,-1.429195050E-3
8.439456664E-1,-6.114656571E-5,3.310283646E-4,-7.993752661E-6
8.539236665E-1,5.857353099E-4,5.840286613E-4,-3.422204754E-4
